seed,quadrant,axis,contrast,template_count,slope,r5_minus_r1
3005,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.001358025272687276,0.004168279469013214
3005,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.001642635961373647,0.005522732933362325
3005,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0015123354891935985,0.00482650101184845
3006,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.001775062084197998,0.006757299105326335
3006,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.0016628762086232504,0.00618997464577357
3006,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.0017329275608062745,0.006645662089188893
3006,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0017101377248764037,0.006519131362438202
3007,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0013566426932811737,0.004243624707063039
3007,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.0007629508773485819,0.0015559444824854534
3007,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.001642635961373647,0.005522732933362325
3007,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0015123354891935985,0.00482650101184845
3008,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0009332733849684397,0.0020191396276156106
3008,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.0007795378565788269,0.0012758423884709675
3008,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.0009871696432431538,0.0022454013427098594
3008,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0008463891843954722,0.0014967694878578186
3009,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0021504645546277365,0.0066902463634808855
3009,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.001952890306711197,0.005814537405967712
3009,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.002190235257148743,0.0068765754501024885
3009,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0020271268983682,0.006085505088170369
3010,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.00021262740095456435,-0.0008242502808570862
3010,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.00020363032817840554,-0.000922242800394694
3010,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.00024561037619908604,-0.0007890686392784119
3010,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.00017877494295438141,-0.001037798821926117
3001,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.002407216529051463,-0.00884796679019928
3001,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0024033005038897196,-0.008943537871042887
3001,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0021979098518689474,-0.007732401291529338
3001,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0022391935189565023,-0.007938851912816366
3002,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.002407216529051463,-0.00884796679019928
3002,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0024033005038897196,-0.008943537871042887
3002,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0021979098518689474,-0.007732401291529338
3002,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0022391935189565023,-0.007938851912816366
3003,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0021406630674997967,-0.008194595575332642
3003,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.002210421363512675,-0.008474131425221762
3003,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0019075219829877217,-0.007036263744036357
3003,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0019711961348851522,-0.007279401024182637
3004,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.002176297704378764,-0.007690325379371643
3004,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.002095534404118856,-0.007647603750228882
3004,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0022210160891215007,-0.006717200080553691
3004,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.002313253283500671,-0.007297500967979431
3005,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.002407216529051463,-0.00884796679019928
3005,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0024033005038897196,-0.008943537871042887
3005,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0021979098518689474,-0.007732401291529338
3005,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0022391935189565023,-0.007938851912816366
3006,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0018494521578152974,-0.005291923880577087
3006,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0018787403901418052,-0.005520229538281758
3006,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.001519918441772461,-0.0037834743658701577
3006,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0016205797592798868,-0.004251142342885335
3007,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.002183804412682851,-0.007713650663693746
3007,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.001956828435262044,-0.006680607795715332
3007,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0021979098518689474,-0.007732401291529338
3007,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0022391935189565023,-0.007938851912816366
3008,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0008884206414222718,-0.0012539873520533245
3008,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0009374673167864481,-0.00161437193552653
3008,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0006845181186993918,-0.00016544262568155924
3008,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0008548686901728313,-0.0010172277688980103
3009,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.001767835517724355,-0.006616150339444478
3009,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0018241971731185914,-0.00691842536131541
3009,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0015478730201721194,-0.005534345904986064
3009,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.001687951385974884,-0.00619615117708842
3010,high_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0017308543125788371,-0.007149100303649902
3010,high_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0016533757249514263,-0.006929909189542134
3010,low_e_high_n,grief_stricken,neutral_minus_feedback_only,3,-0.0015855113665262858,-0.00652580459912618
3010,low_e_low_n,grief_stricken,neutral_minus_feedback_only,3,-0.0015574951966603595,-0.006480023264884949
3001,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0008276929457982381,0.0011681169271469116
3001,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0008204728364944458,0.001326898733774821
3001,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.000658440093199412,0.000252649188041687
3001,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006711338957150777,0.0003581543763478597
3002,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0008276929457982381,0.0011681169271469116
3002,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0008204728364944458,0.001326898733774821
3002,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.000658440093199412,0.000252649188041687
3002,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006711338957150777,0.0003581543763478597
3003,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0008089726169904074,0.0019503533840179443
3003,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0007826656103134156,0.001986439029375712
3003,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0006804704666137695,0.0011483579874038696
3003,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006526783108711243,0.0011867880821228027
3004,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0016713708639144898,0.0041970908641815186
3004,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0014044086138407389,0.0032967676719029746
3004,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.001022946834564209,0.0020410319169362388
3004,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.001104461153348287,0.0025584151347478232
3005,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0008276929457982381,0.0011681169271469116
3005,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0008204728364944458,0.001326898733774821
3005,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.000658440093199412,0.000252649188041687
3005,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006711338957150777,0.0003581543763478597
3006,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0021929462750752767,0.007113014658292134
3006,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0022370388110478714,0.007451266050338745
3006,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0019547070066134138,0.00585185984770457
3006,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.002047450343767802,0.0064168622096379595
3007,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0007947156826655069,0.0010564128557840984
3007,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.000919725994269053,0.0019913117090861
3007,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.000658440093199412,0.000252649188041687
3007,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006711338957150777,0.0003581543763478597
3008,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0007230371236801146,0.0006448378165562948
3008,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006809930006663004,0.0006294995546340942
3008,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0006475274761517845,0.00019808610280354819
3008,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.0006361022591590882,0.00018299619356791177
3009,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0003611137469609578,-0.0018769154946009319
3009,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.00042720238367716464,-0.0014820595582326253
3009,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.00021614482005437213,-0.0027301013469696045
3009,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.00029701143503189085,-0.0022207448879877725
3010,high_e_high_n,grief_stricken,supportive_minus_neutral,3,0.0005816901723543803,0.002003401517868042
3010,high_e_low_n,grief_stricken,supportive_minus_neutral,3,0.000541292130947113,0.0018107493718465169
3010,low_e_high_n,grief_stricken,supportive_minus_neutral,3,0.00047237227360407514,0.0015346060196558635
3010,low_e_low_n,grief_stricken,supportive_minus_neutral,3,0.00043335010608037315,0.0013670722643534343
3001,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015795235832532248,-0.007679849863052368
3001,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.001582827667395274,-0.007616639137268066
3001,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015394697586695353,-0.007479752103487651
3001,low_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015680596232414245,-0.007580697536468506
3002,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015795235832532248,-0.007679849863052368
3002,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.001582827667395274,-0.007616639137268066
3002,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015394697586695353,-0.007479752103487651
3002,low_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015680596232414245,-0.007580697536468506
3003,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0013316904505093893,-0.006244242191314697
3003,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0014277557531992594,-0.006487692395846049
3003,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0012270515163739523,-0.005887905756632487
3003,low_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.001318517824014028,-0.0060926129420598345
3004,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0005049268404642742,-0.0034932345151901245
3004,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0006911257902781169,-0.004350836078325908
3004,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0011980692545572917,-0.004676168163617452
3004,low_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0012087921301523843,-0.004739085833231608
3005,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015795235832532248,-0.007679849863052368
3005,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.001582827667395274,-0.007616639137268066
3005,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015394697586695353,-0.007479752103487651
3005,low_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015680596232414245,-0.007580697536468506
3006,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,0.00034349411725997925,0.0018210907777150471
3006,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,0.0003582984209060663,0.0019310365120569866
3006,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,0.00043478856484095284,0.0020683854818344116
3006,low_e_low_n,grief_stricken,supportive_minus_feedback_only,3,0.00042687058448791514,0.0021657198667526245
3007,high_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0013890887300173442,-0.006657237807909648
3007,high_e_low_n,grief_stricken,supportive_minus_feedback_only,3,-0.0010371024409929913,-0.0046892960866292315
3007,low_e_high_n,grief_stricken,supportive_minus_feedback_only,3,-0.0015394697586695353,-0.007479752103487651
